issue,prize,hundred,ten,unit
2017220,643,6,4,3
2017221,447,4,4,7
2017222,707,7,0,7
2017223,496,4,9,6
2017224,634,6,3,4
2017225,488,4,8,8
2017226,335,3,3,5
2017227,247,2,4,7
2017228,389,3,8,9
2017229,487,4,8,7
2017230,674,6,7,4
2017231,420,4,2,0
2017232,844,8,4,4
2017233,187,1,8,7
2017234,466,4,6,6
2017235,156,1,5,6
2017236,515,5,1,5
2017237,210,2,1,0
2017238,921,9,2,1
2017239,605,6,0,5
2017240,517,5,1,7
2017241,939,9,3,9
2017242,893,8,9,3
2017243,335,3,3,5
2017244,832,8,3,2
2017245,623,6,2,3
2017246,111,1,1,1
2017247,945,9,4,5
2017248,849,8,4,9
2017249,361,3,6,1
2017250,856,8,5,6
2017251,151,1,5,1
2017252,178,1,7,8
2017253,778,7,7,8
2017254,915,9,1,5
2017255,948,9,4,8
2017256,132,1,3,2
2017257,223,2,2,3
2017258,871,8,7,1
2017259,487,4,8,7
2017260,929,9,2,9
2017261,635,6,3,5
2017262,391,3,9,1
2017263,335,3,3,5
2017264,680,6,8,0
2017265,309,3,0,9
2017266,151,1,5,1
2017267,714,7,1,4
2017268,317,3,1,7
2017269,045,0,4,5
2017270,141,1,4,1
2017271,550,5,5,0
2017272,921,9,2,1
2017273,380,3,8,0
2017274,946,9,4,6
2017275,965,9,6,5
2017276,093,0,9,3
2017277,076,0,7,6
2017278,057,0,5,7
2017279,262,2,6,2
2017280,797,7,9,7
2017281,808,8,0,8
2017282,302,3,0,2
2017283,154,1,5,4
2017284,618,6,1,8
2017285,977,9,7,7
2017286,481,4,8,1
2017287,094,0,9,4
2017288,756,7,5,6
2017289,744,7,4,4
2017290,423,4,2,3
2017291,694,6,9,4
2017292,946,9,4,6
2017293,787,7,8,7
2017294,418,4,1,8
2017295,554,5,5,4
2017296,318,3,1,8
2017297,810,8,1,0
2017298,099,0,9,9
2017299,685,6,8,5
2017300,754,7,5,4
2017301,616,6,1,6
2017302,902,9,0,2
2017303,458,4,5,8
2017304,444,4,4,4
2017305,005,0,0,5
2017306,125,1,2,5
2017307,623,6,2,3
2017308,891,8,9,1
2017309,262,2,6,2
2017310,761,7,6,1
2017311,900,9,0,0
2017312,598,5,9,8
2017313,306,3,0,6
2017314,580,5,8,0
2017315,243,2,4,3
2017316,202,2,0,2
2017317,103,1,0,3
2017318,883,8,8,3
2017319,939,9,3,9
2017320,036,0,3,6
2017321,435,4,3,5
2017322,173,1,7,3
2017323,572,5,7,2
2017324,828,8,2,8
2017325,509,5,0,9
2017326,723,7,2,3
2017327,145,1,4,5
2017328,621,6,2,1
2017329,535,5,3,5
2017330,385,3,8,5
2017331,098,0,9,8
2017332,321,3,2,1
2017333,427,4,2,7
2017334,181,1,8,1
2017335,661,6,6,1
2017336,340,3,4,0
2017337,910,9,1,0
2017338,279,2,7,9
2017339,131,1,3,1
2017340,112,1,1,2
2017341,722,7,2,2
2017342,386,3,8,6
2017343,752,7,5,2
2017344,365,3,6,5
2017345,344,3,4,4
2017346,103,1,0,3
2017347,037,0,3,7
2017348,087,0,8,7
2017349,156,1,5,6
2017350,128,1,2,8
2017351,260,2,6,0
2017352,994,9,9,4
2017353,304,3,0,4
2017354,187,1,8,7
2017355,384,3,8,4
2017356,952,9,5,2
2017357,809,8,0,9
2017358,951,9,5,1
