issue,prize,hundred,ten,unit,sum,tail,gap
2011320,870,8,7,0,15,5,8
2011321,365,3,6,5,14,4,3
2011322,368,3,6,8,17,7,5
2011323,472,4,7,2,13,3,5
2011324,156,1,5,6,12,2,5
2011325,039,0,3,9,12,2,9
2011326,092,0,9,2,11,1,9
2011327,465,4,6,5,15,5,2
2011328,811,8,1,1,10,0,7
2011329,648,6,4,8,18,8,4
2011330,888,8,8,8,24,4,0
2011331,943,9,4,3,16,6,6
2011332,897,8,9,7,24,4,2
2011333,352,3,5,2,10,0,3
2011334,803,8,0,3,11,1,8
2011335,436,4,3,6,13,3,3
2011336,747,7,4,7,18,8,3
2011337,387,3,8,7,18,8,5
2011338,888,8,8,8,24,4,0
2011339,514,5,1,4,10,0,4
2011340,973,9,7,3,19,9,6
2011341,874,8,7,4,19,9,4
2011342,204,2,0,4,6,6,4
2011343,961,9,6,1,16,6,8
2011344,360,3,6,0,9,9,6
2011345,296,2,9,6,17,7,7
2011346,494,4,9,4,17,7,5
2011347,290,2,9,0,11,1,9
2011348,227,2,2,7,11,1,5
2011349,000,0,0,0,0,0,0
2011350,927,9,2,7,18,8,7
2011351,300,3,0,0,3,3,3
2011352,142,1,4,2,7,7,3
2011353,068,0,6,8,14,4,8
2011354,301,3,0,1,4,4,3
2011355,518,5,1,8,14,4,7
2011356,470,4,7,0,11,1,7
2011357,239,2,3,9,14,4,7
2011358,725,7,2,5,14,4,5
