issue,prize,hundred,ten,unit
2019106,384,3,8,4
2019107,214,2,1,4
2019108,309,3,0,9
2019109,983,9,8,3
2019110,303,3,0,3
2019111,486,4,8,6
2019112,545,5,4,5
2019113,472,4,7,2
2019114,949,9,4,9
2019115,008,0,0,8
2019116,824,8,2,4
2019117,358,3,5,8
2019118,620,6,2,0
2019119,211,2,1,1
2019120,911,9,1,1
2019121,882,8,8,2
2019122,692,6,9,2
2019123,471,4,7,1
2019124,270,2,7,0
2019125,485,4,8,5
2019126,189,1,8,9
2019127,280,2,8,0
2019128,064,0,6,4
2019129,540,5,4,0
2019130,725,7,2,5
2019131,627,6,2,7
2019132,593,5,9,3
2019133,197,1,9,7
2019134,419,4,1,9
2019135,094,0,9,4
2019136,939,9,3,9
2019137,776,7,7,6
2019138,007,0,0,7
2019139,406,4,0,6
2019140,154,1,5,4
2019141,004,0,0,4
2019142,083,0,8,3
2019143,581,5,8,1
2019144,489,4,8,9
2019145,088,0,8,8
2019146,374,3,7,4
2019147,534,5,3,4
2019148,191,1,9,1
2019149,880,8,8,0
2019150,966,9,6,6
2019151,575,5,7,5
2019152,285,2,8,5
2019153,060,0,6,0
2019154,378,3,7,8
2019155,081,0,8,1
2019156,659,6,5,9
2019157,312,3,1,2
2019158,721,7,2,1
2019159,196,1,9,6
2019160,465,4,6,5
2019161,997,9,9,7
2019162,610,6,1,0
2019163,493,4,9,3
2019164,797,7,9,7
2019165,112,1,1,2
2019166,865,8,6,5
2019167,307,3,0,7
2019168,703,7,0,3
2019169,041,0,4,1
2019170,364,3,6,4
2019171,443,4,4,3
2019172,752,7,5,2
2019173,884,8,8,4
2019174,399,3,9,9
2019175,389,3,8,9
2019176,096,0,9,6
2019177,232,2,3,2
2019178,774,7,7,4
2019179,761,7,6,1
2019180,248,2,4,8
2019181,306,3,0,6
2019182,761,7,6,1
2019183,832,8,3,2
2019184,449,4,4,9
2019185,436,4,3,6
2019186,547,5,4,7
2019187,899,8,9,9
2019188,316,3,1,6
2019189,890,8,9,0
2019190,170,1,7,0
2019191,250,2,5,0
2019192,729,7,2,9
2019193,652,6,5,2
2019194,318,3,1,8
2019195,689,6,8,9
2019196,645,6,4,5
2019197,622,6,2,2
2019198,257,2,5,7
2019199,476,4,7,6
2019200,471,4,7,1
2019201,232,2,3,2
2019202,823,8,2,3
2019203,103,1,0,3
2019204,562,5,6,2
2019205,187,1,8,7
2019206,917,9,1,7
2019207,117,1,1,7
2019208,857,8,5,7
2019209,865,8,6,5
2019210,773,7,7,3
2019211,590,5,9,0
2019212,772,7,7,2
2019213,728,7,2,8
2019214,921,9,2,1
2019215,876,8,7,6
2019216,658,6,5,8
2019217,123,1,2,3
2019218,649,6,4,9
2019219,382,3,8,2
2019220,329,3,2,9
2019221,796,7,9,6
2019222,909,9,0,9
2019223,534,5,3,4
2019224,093,0,9,3
2019225,391,3,9,1
2019226,396,3,9,6
2019227,823,8,2,3
2019228,978,9,7,8
2019229,948,9,4,8
2019230,630,6,3,0
2019231,935,9,3,5
2019232,772,7,7,2
2019233,531,5,3,1
2019234,245,2,4,5
2019235,422,4,2,2
2019236,021,0,2,1
2019237,808,8,0,8
2019238,410,4,1,0
2019239,491,4,9,1
2019240,894,8,9,4
2019241,385,3,8,5
2019242,892,8,9,2
2019243,511,5,1,1
2019244,090,0,9,0
2019245,595,5,9,5
2019246,427,4,2,7
2019247,489,4,8,9
2019248,311,3,1,1
2019249,629,6,2,9
2019250,171,1,7,1
2019251,272,2,7,2
2019252,416,4,1,6
2019253,639,6,3,9
2019254,618,6,1,8
2019255,272,2,7,2
2019256,474,4,7,4
2019257,871,8,7,1
2019258,511,5,1,1
2019259,432,4,3,2
2019260,162,1,6,2
2019261,865,8,6,5
2019262,785,7,8,5
2019263,984,9,8,4
2019264,669,6,6,9
2019265,590,5,9,0
2019266,461,4,6,1
2019267,035,0,3,5
2019268,081,0,8,1
2019269,854,8,5,4
2019270,601,6,0,1
2019271,951,9,5,1
2019272,014,0,1,4
2019273,822,8,2,2
2019274,102,1,0,2
2019275,287,2,8,7
2019276,818,8,1,8
2019277,737,7,3,7
2019278,194,1,9,4
2019279,177,1,7,7
2019280,294,2,9,4
2019281,005,0,0,5
2019282,626,6,2,6
2019283,049,0,4,9
2019284,992,9,9,2
2019285,071,0,7,1
2019286,774,7,7,4
2019287,337,3,3,7
2019288,789,7,8,9
2019289,249,2,4,9
2019290,485,4,8,5
2019291,676,6,7,6
2019292,486,4,8,6
2019293,599,5,9,9
2019294,758,7,5,8
2019295,335,3,3,5
2019296,870,8,7,0
2019297,525,5,2,5
2019298,555,5,5,5
2019299,578,5,7,8
2019300,537,5,3,7
2019301,379,3,7,9
2019302,744,7,4,4
2019303,669,6,6,9
2019304,663,6,6,3
2019305,482,4,8,2
2019306,647,6,4,7
2019307,027,0,2,7
2019308,675,6,7,5
2019309,354,3,5,4
2019310,754,7,5,4
2019311,114,1,1,4
2019312,576,5,7,6
2019313,241,2,4,1
2019314,200,2,0,0
2019315,451,4,5,1
2019316,481,4,8,1
2019317,423,4,2,3
2019318,319,3,1,9
2019319,331,3,3,1
2019320,787,7,8,7
2019321,593,5,9,3
2019322,972,9,7,2
2019323,830,8,3,0
2019324,373,3,7,3
2019325,744,7,4,4
2019326,209,2,0,9
2019327,770,7,7,0
2019328,596,5,9,6
2019329,412,4,1,2
2019330,397,3,9,7
2019331,860,8,6,0
2019332,254,2,5,4
2019333,383,3,8,3
2019334,972,9,7,2
2019335,369,3,6,9
2019336,234,2,3,4
2019337,407,4,0,7
2019338,547,5,4,7
2019339,901,9,0,1
2019340,383,3,8,3
2019341,030,0,3,0
2019342,178,1,7,8
2019343,952,9,5,2
2019344,087,0,8,7
2019345,874,8,7,4
2019346,589,5,8,9
2019347,549,5,4,9
2019348,055,0,5,5
2019349,338,3,3,8
2019350,818,8,1,8
2019351,977,9,7,7
