issue,prize,hundred,ten,unit
2006241,432,4,3,2
2006242,789,7,8,9
2006243,498,4,9,8
2006244,222,2,2,2
2006245,080,0,8,0
2006246,989,9,8,9
2006247,528,5,2,8
2006248,895,8,9,5
2006249,166,1,6,6
2006250,959,9,5,9
2006251,656,6,5,6
2006252,115,1,1,5
2006253,978,9,7,8
2006254,293,2,9,3
2006255,479,4,7,9
2006256,998,9,9,8
2006257,508,5,0,8
2006258,860,8,6,0
2006259,628,6,2,8
2006260,659,6,5,9
2006261,735,7,3,5
2006262,917,9,1,7
2006263,886,8,8,6
2006264,656,6,5,6
2006265,228,2,2,8
2006266,272,2,7,2
2006267,265,2,6,5
2006268,638,6,3,8
2006269,010,0,1,0
2006270,317,3,1,7
2006271,944,9,4,4
2006272,517,5,1,7
2006273,373,3,7,3
2006274,908,9,0,8
2006275,772,7,7,2
2006276,110,1,1,0
2006277,907,9,0,7
2006278,216,2,1,6
2006279,951,9,5,1
2006280,808,8,0,8
2006281,263,2,6,3
2006282,433,4,3,3
2006283,023,0,2,3
2006284,279,2,7,9
2006285,857,8,5,7
2006286,564,5,6,4
2006287,447,4,4,7
2006288,145,1,4,5
2006289,781,7,8,1
2006290,208,2,0,8
2006291,439,4,3,9
2006292,338,3,3,8
2006293,060,0,6,0
2006294,437,4,3,7
2006295,331,3,3,1
2006296,609,6,0,9
2006297,600,6,0,0
2006298,972,9,7,2
2006299,956,9,5,6
2006300,214,2,1,4
2006301,199,1,9,9
2006302,635,6,3,5
2006303,772,7,7,2
2006304,991,9,9,1
2006305,259,2,5,9
2006306,661,6,6,1
2006307,278,2,7,8
2006308,871,8,7,1
2006309,834,8,3,4
2006310,999,9,9,9
2006311,305,3,0,5
2006312,310,3,1,0
2006313,830,8,3,0
2006314,724,7,2,4
2006315,041,0,4,1
2006316,133,1,3,3
2006317,845,8,4,5
2006318,619,6,1,9
2006319,655,6,5,5
2006320,349,3,4,9
2006321,468,4,6,8
2006322,664,6,6,4
2006323,736,7,3,6
2006324,815,8,1,5
2006325,143,1,4,3
2006326,977,9,7,7
2006327,375,3,7,5
2006328,169,1,6,9
2006329,896,8,9,6
2006330,774,7,7,4
2006331,090,0,9,0
2006332,020,0,2,0
2006333,767,7,6,7
2006334,893,8,9,3
2006335,659,6,5,9
2006336,456,4,5,6
2006337,126,1,2,6
2006338,940,9,4,0
2006339,063,0,6,3
2006340,531,5,3,1
2006341,664,6,6,4
2006342,746,7,4,6
2006343,183,1,8,3
2006344,712,7,1,2
2006345,030,0,3,0
2006346,566,5,6,6
2006347,184,1,8,4
2006348,114,1,1,4
2006349,735,7,3,5
2006350,698,6,9,8
2006351,117,1,1,7
2006352,691,6,9,1
2006353,513,5,1,3
2006354,334,3,3,4
2006355,914,9,1,4
2006356,678,6,7,8
2006357,584,5,8,4
